station_id,dayofweek,time_category,start_count,end_count,bike_availability_diff
2733.03,1,afternoon,28.4,26.6,1.8
2733.03,1,evening,18.428571428571427,19.714285714285715,-1.2857142857142858
2733.03,1,morning,6.666666666666667,9.333333333333334,-2.6666666666666665
2733.03,1,night,1.2,4.4,-3.2
2733.03,2,afternoon,18.2,18.8,-0.6
2733.03,2,evening,14.857142857142858,24.571428571428573,-9.714285714285714
2733.03,2,morning,16.333333333333332,9.0,7.333333333333333
2733.03,2,night,1.3333333333333333,3.3333333333333335,-2.0
2733.03,3,afternoon,20.6,16.6,4.0
2733.03,3,evening,16.714285714285715,22.285714285714285,-5.571428571428571
2733.03,3,morning,14.0,6.142857142857143,7.857142857142857
2733.03,3,night,2.0,2.5,-0.5
2733.03,4,afternoon,19.2,19.6,-0.4
2733.03,4,evening,20.0,30.285714285714285,-10.285714285714286
2733.03,4,morning,16.5,11.0,5.5
2733.03,4,night,1.3333333333333333,2.6666666666666665,-1.3333333333333333
2733.03,5,afternoon,19.6,16.6,3.0
2733.03,5,evening,20.571428571428573,22.285714285714285,-1.7142857142857142
2733.03,5,morning,11.142857142857142,5.571428571428571,5.571428571428571
2733.03,5,night,6.0,5.666666666666667,0.3333333333333333
2733.03,6,afternoon,21.8,22.0,-0.2
2733.03,6,evening,17.428571428571427,20.571428571428573,-3.142857142857143
2733.03,6,morning,12.142857142857142,9.0,3.142857142857143
2733.03,6,night,1.8,3.8,-2.0
2733.03,7,afternoon,37.2,33.2,4.0
2733.03,7,evening,18.285714285714285,22.428571428571427,-4.142857142857143
2733.03,7,morning,6.857142857142857,8.285714285714286,-1.4285714285714286
2733.03,7,night,2.5,3.0,-0.5
2782.02,1,afternoon,33.6,35.8,-2.2
2782.02,1,evening,30.285714285714285,35.57142857142857,-5.285714285714286
2782.02,1,morning,11.857142857142858,8.857142857142858,3.0
2782.02,1,night,4.4,6.6,-2.2
2782.02,2,afternoon,35.2,33.0,2.2
2782.02,2,evening,26.0,32.42857142857143,-6.428571428571429
2782.02,2,morning,12.428571428571429,10.714285714285714,1.7142857142857142
2782.02,2,night,3.0,6.0,-3.0
2782.02,3,afternoon,23.6,23.4,0.2
2782.02,3,evening,24.142857142857142,25.285714285714285,-1.1428571428571428
2782.02,3,morning,13.0,7.0,6.0
2782.02,3,night,2.2,3.8,-1.6
2782.02,4,afternoon,28.2,24.4,3.8
2782.02,4,evening,33.0,32.42857142857143,0.5714285714285714
2782.02,4,morning,10.714285714285714,7.285714285714286,3.4285714285714284
2782.02,4,night,2.75,5.5,-2.75
2782.02,5,afternoon,31.4,25.0,6.4
2782.02,5,evening,27.714285714285715,32.0,-4.285714285714286
2782.02,5,morning,9.571428571428571,8.857142857142858,0.7142857142857143
2782.02,5,night,4.75,9.0,-4.25
2782.02,6,afternoon,27.8,28.2,-0.4
2782.02,6,evening,35.0,34.285714285714285,0.7142857142857143
2782.02,6,morning,10.857142857142858,9.142857142857142,1.7142857142857142
2782.02,6,night,7.666666666666667,9.0,-1.3333333333333333
2782.02,7,afternoon,47.0,44.2,2.8
2782.02,7,evening,36.142857142857146,39.42857142857143,-3.2857142857142856
2782.02,7,morning,10.428571428571429,10.142857142857142,0.2857142857142857
2782.02,7,night,2.5,9.75,-7.25
2821.05,1,afternoon,39.8,50.0,-10.2
2821.05,1,evening,31.142857142857142,27.714285714285715,3.4285714285714284
2821.05,1,morning,13.333333333333334,28.833333333333332,-15.5
2821.05,1,night,3.8,5.6,-1.8
2821.05,2,afternoon,34.2,27.4,6.8
2821.05,2,evening,26.142857142857142,26.571428571428573,-0.42857142857142855
2821.05,2,morning,9.833333333333334,15.333333333333334,-5.5
2821.05,2,night,2.6,1.6,1.0
2821.05,3,afternoon,25.4,22.0,3.4
2821.05,3,evening,31.142857142857142,24.571428571428573,6.571428571428571
2821.05,3,morning,11.0,13.428571428571429,-2.4285714285714284
2821.05,3,night,2.0,2.5,-0.5
2821.05,4,afternoon,30.0,29.8,0.2
2821.05,4,evening,29.142857142857142,31.142857142857142,-2.0
2821.05,4,morning,10.285714285714286,13.714285714285714,-3.4285714285714284
2821.05,4,night,3.0,2.0,1.0
2821.05,5,afternoon,31.0,26.0,5.0
2821.05,5,evening,27.285714285714285,20.714285714285715,6.571428571428571
2821.05,5,morning,10.0,15.285714285714286,-5.285714285714286
2821.05,5,night,4.0,3.25,0.75
2821.05,6,afternoon,36.6,31.0,5.6
2821.05,6,evening,30.571428571428573,30.571428571428573,0.0
2821.05,6,morning,9.666666666666666,14.666666666666666,-5.0
2821.05,6,night,2.0,1.0,1.0
2821.05,7,afternoon,45.2,55.8,-10.6
2821.05,7,evening,30.142857142857142,23.714285714285715,6.428571428571429
2821.05,7,morning,13.0,20.428571428571427,-7.428571428571429
2821.05,7,night,3.6,2.4,1.2
2832.03,1,afternoon,34.4,31.6,2.8
2832.03,1,evening,25.428571428571427,31.571428571428573,-6.142857142857143
2832.03,1,morning,11.285714285714286,8.142857142857142,3.142857142857143
2832.03,1,night,5.0,11.4,-6.4
2832.03,2,afternoon,46.4,28.0,18.4
2832.03,2,evening,25.714285714285715,27.857142857142858,-2.142857142857143
2832.03,2,morning,12.428571428571429,19.0,-6.571428571428571
2832.03,2,night,2.75,4.0,-1.25
2832.03,3,afternoon,47.4,26.0,21.4
2832.03,3,evening,22.428571428571427,34.714285714285715,-12.285714285714286
2832.03,3,morning,17.428571428571427,23.428571428571427,-6.0
2832.03,3,night,4.0,5.75,-1.75
2832.03,4,afternoon,42.8,27.2,15.6
